id,board,company_name,sector,merchant_banker,city,size_cr,open_date,close_date,listing_date,period,year,month,ipo_url
4060,SME,Ameenji Rubber Limited,Rubber,Hem Securities Limited,Secunderabad,30.0,2025-09-26,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/ameenji-rubber-ipo/4060
4057,SME,Jay Ambe Supermarkets Limited,Retail,Beeline Capital Advisors Private Limited,Gandhinagar,18.45,2025-09-10,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/jay-ambe-ipo/4057
4055,SME,Zelio E-Mobility Limited,Electric Equipments,Hem Securities Limited,Hisar,78.34,2025-09-30,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/zelio-emobility-ipo/4055
4054,SME,Karbonsteel Engineering Limited,Steel,Seren Capital Private Limited,Mumbai,59.3,2025-09-09,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/karbonsteel-engineering-ipo/4054
4047,SME,Chiraharit Limited,Engineering - EPC,Finshore Management Services Limited,Hyderabad,31.07,2025-09-29,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/chiraharit-ipo/4047
4045,SME,Goel Construction Company Limited,Infrastructure,Srujan Alpha Capital Advisors Llp,Jaipur,99.77,2025-09-02,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/goel-construction-ipo/4045
4042,SME,Gurunanak Agriculture India Limited,Agro,Finshore Management Services Limited,Raipur,28.8,2025-09-24,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/gurunanak-agriculture-ipo/4042
4039,SME,Optivalue Tek Consulting Limited,Information Technology,Share India Capital Services Private Limited,New Delhi,51.82,2025-09-02,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/optivalue-tek-consulting-ipo/4039
4033,SME,Matrix Geo Solutions Limited,Drone,Narnolia Financial Services Limited,New Delhi,40.2,2025-09-23,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/matrix-geo-solutions-ipo/4033
4032,SME,NSB BPO Solutions Limited,Outsourcing - BPO,Inventure Merchant Banker Services Private Limited,Bhopal,77.91,2025-09-23,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/nsb-bpo-solutions-limited/4032
4031,SME,Galaxy Medicare Limited,Healthcare,Affinity Global Capital Market Private Limited,Bhubaneswar,22.31,2025-09-10,,,2025-09,2025,9,https://www.ipoplatform.com/ipo/galaxy-medicare-ipo/4031
4018,SME,Taurian MPS Limited,Engineering,Gretex Corporate Services Limited,Mumbai,42.53,2025-09-09,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/taurian-mps-limited/4018
4015,SME,Solvex Edibles Limited,FMCG,Corporate Makers Capital Limited,Bilaspur,18.87,2025-09-22,,,2025-09,2025,9,https://www.ipoplatform.com/ipo/solvex-edibles-limited/4015
4004,SME,Chatterbox Technologies Limited,Advertising and Media,Expert Global Consultants Private Limited,Mumbai,42.86,2025-09-25,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/chatterbox-technologies-limited/4004
3956,SME,Ecoline Exim Limited,Packaging & Disposables,Hem Securities Limited,Kolkata,76.42,2025-09-23,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/ecoline-exim-limited/3956
3950,SME,Shlokka Dyes Limited,Chemical,Interactive Financial Services Limited,Bharuch,63.5,2025-09-30,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/shlokka-dyes-ipo/3950
3949,SME,Vigor Plast India Limited,Plastic and Polymer,Unistone Capital Private Limited,Jamnagar,25.1,2025-09-04,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/vigor-plast-ipo/3949
3940,SME,Gujarat Peanut and Agri Products Limited,Agro,Finshore Management Services Limited,Rajkot,23.81,2025-09-25,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/gujarat-peanut-and-agri-products-limited/3940
3898,SME,Sharvaya Metals Limited,Aluminium,Expert Global Consultants Private Limited,Pune,58.8,2025-09-04,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/sharvaya-metals-limited/3898
3875,SME,B.A.G. Convergence Limited,Advertising and Media,Inventure Merchant Banker Services Private Limited,New Delhi,48.72,2025-09-30,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/bag-convergence-limited/3875
3856,SME,Rachit Prints Limited,Textiles,Khambatta Securities Limited,Meerut,19.49,2025-09-01,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/rachit-prints-limited/3856
3843,SME,Sheel Biotech Limited,Agro,Narnolia Financial Services Limited,New Delhi,34.02,2025-09-30,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/sheel-biotech-limited/3843
3841,SME,Vijaypd Ceutical Limited,Pharmaceutical,Smart Horizon Capital Advisors Private Limited,Mumbai,19.25,2025-09-29,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/vijaypd-ceutical-limited/3841
3749,SME,Vashishtha Luxury Fashion Limited,Textiles - Fabrics,Expert Global Consultants Private Limited,Mumbai,8.87,2025-09-05,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/vashishtha-luxury-fashion-limited/3749
3743,SME,Om Metallogic Limited,Aluminium,Corporate Professionals Capital Private Limited,New Delhi,22.35,2025-09-29,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/om-metallogic-limited/3743
3733,SME,Valplast Technologies Limited,Infrastructure,Fintellectual Corporate Advisors Private Limited,Faridabad,28.09,2025-09-30,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/valplast-technologies-limited/3733
3730,SME,Austere Systems Limited,Information Technology  - Data Solutions,GYR Capital Advisors Private Limited,Pune,15.57,2025-09-03,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/austere-systems-limited/3730
3721,SME,Suba Hotels Limited,Hotels and Resorts,Unistone Capital Private Limited,Ahmedabad,75.47,2025-09-29,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/suba-hotels-limited/3721
3717,SME,Praruh Technologies Limited,Information Technology,Corporate Makers Capital Limited,New Delhi,23.5,2025-09-24,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/praruh-technologies-limited/3717
3705,SME,Siddhi Cotspin Limited,Textiles,Swastika Investmart Limited,Ahmedabad,69.85,2025-09-19,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/siddhi-cotspin-limited/3705
3679,SME,DSM Fresh Foods Limited,FMCG,Narnolia Financial Services Limited,New Delhi,59.65,2025-09-26,1970-01-01,,2025-09,2025,9,https://www.ipoplatform.com/ipo/dsm-fresh-foods-limited/3679
4259,Main Board,Patel Retail Limited,Retail - Supermarket,Fedex Securities Private Limited,Mumbai,242.76,2025-08-19,1970-01-01,,2025-08,2025,8,https://www.ipoplatform.com/ipo/patel-retail-ipo/4259
4247,Main Board,Knowledge Realty Trust REIT,Real Estate - REIT,Axis Capital Limited Axis Capital Limited and Bofa Securities India Limited and ICICI Securities Limited and Jm Financial Limited and Kotak Mahindra Capital Company Limited and Morgan Stanley India Company Private Limited and SBI Capital Markets Limited +,Mumbai,4800.0,2025-08-05,1970-01-01,,2025-08,2025,8,https://www.ipoplatform.com/ipo/knowledge-realty-trust-reit-ipo/4247
3984,Main Board,Shreeji Shipping Global Limited,Logistics,Beeline Capital Advisors Private Limited Beeline Capital Advisors Private Limited and Elara Capital (India) Private Limited +,Jamnagar,410.71,2025-08-19,1970-01-01,,2025-08,2025,8,https://www.ipoplatform.com/ipo/shreeji-shipping-global-limited/3984
3936,Main Board,Regaal Resources Limited,Agro,Pantomath Capital Advisors Private Limited Pantomath Capital Advisors Private Limited and Sumedha Fiscal Services Limited +,Kolkata,306.0,2025-08-12,1970-01-01,,2025-08,2025,8,https://www.ipoplatform.com/ipo/regaal-resources-limited/3936
3935,Main Board,Gem Aromatics Limited,Chemical,Motilal Oswal Investment Advisors Limited,Mumbai,451.25,2025-08-19,1970-01-01,,2025-08,2025,8,https://www.ipoplatform.com/ipo/gem-aromatics-limited/3935
3931,Main Board,Mangal Electrical Industries Limited,Electric Equipments - Transformers,Systematix Corporate Services Limited,Jaipur,400.0,2025-08-20,1970-01-01,,2025-08,2025,8,https://www.ipoplatform.com/ipo/mangal-electrical-industries-limited/3931
3882,Main Board,Bluestone Jewellery And Lifestyle Limited,Jewellery,Axis Capital Limited Axis Capital Limited and IIFL Securities Limited and Kotak Mahindra Capital Company Limited +,Bengaluru,1540.65,2025-08-11,1970-01-01,,2025-08,2025,8,https://www.ipoplatform.com/ipo/bluestone-jewellery-and-lifestyle-limited/3882
3826,Main Board,JSW Cement Limited,Cement,Axis Capital Limited Axis Capital Limited and Citigroup Global Markets India Private Limited and Dam Capital Advisors Limited (Formerly Idfc Securities Limited) and Goldman Sachs (India) Securities Private Limited and Jefferies India Private Limited and Jm Financial Limited and Kotak Mahindra Capital Company Limited and SBI Capital Markets Limited +,Mumbai,3600.0,2025-08-07,1970-01-01,,2025-08,2025,8,https://www.ipoplatform.com/ipo/jsw-cement-limited/3826
3811,Main Board,Highway Infrastructure Limited,Infrastructure,Pantomath Capital Advisors Private Limited,Indore,130.0,2025-08-05,1970-01-01,,2025-08,2025,8,https://www.ipoplatform.com/ipo/highway-infrastructure-limited/3811
3801,Main Board,All Time Plastics Limited,Plastic and Polymer,Intensive Fiscal Services Private Limited Intensive Fiscal Services Private Limited and Dam Capital Advisors Limited (Formerly Idfc Securities Limited) +,Mumbai,400.6,2025-08-07,1970-01-01,,2025-08,2025,8,https://www.ipoplatform.com/ipo/all-time-plastics-limited/3801
3798,Main Board,Vikran Engineering Limited,Engineering,Pantomath Capital Advisors Private Limited Pantomath Capital Advisors Private Limited and Systematix Corporate Services Limited +,Mumbai,772.0,2025-08-26,1970-01-01,,2025-08,2025,8,https://www.ipoplatform.com/ipo/vikran-engineering-limited/3798
3797,Main Board,Vikram Solar Limited,Solar - Panels,Equirus Capital Private Limited Equirus Capital Private Limited and Jm Financial Limited and Nuvama Wealth Management Limited and Ubs Securities India Private Limited and PhillipCapital (India) Private Limited +,Kolkata,2079.37,2025-08-19,1970-01-01,,2025-08,2025,8,https://www.ipoplatform.com/ipo/vikram-solar-limited/3797
